loop_id,label,p2ll
564,5,2.679481827596358
565,5,2.5887087890048055
566,5,1.2478725215776325
567,5,1.3268605289367326
568,2,1.342376749486475
569,3,1.3022625502887175
570,3,2.541187578307017
571,3,1.6856143599013678
572,3,1.1254913120843593
573,3,2.2916138111012216
574,3,0.8049055766787246
575,4,2.602672944856988
576,2,1.8476407318556485
577,4,2.628290566251523
578,2,1.857013214069217
579,5,
580,4,1.3182612227268675
581,2,1.6737515853336637
582,5,2.136533860131563
583,5,2.0812041947886497
584,2,1.9120420297410903
585,4,2.2725088314804016
586,1,2.4737564564009684
587,2,1.292393948016204
588,2,1.7573346973399842
589,4,2.320633769790023
590,5,2.1536085662460787
591,2,2.0945089357743596
592,1,1.205545382011935
593,1,1.6204641919342035
594,3,2.367995991156505
595,3,2.367995991156505
596,5,1.9900480263544416
597,1,1.154810848621575
598,2,1.8530941629243816
599,3,1.4903769079476852
600,3,1.1797084520459176
601,1,0.8670690136286733
602,0,1.555219120925264
603,0,2.2524571986266166
604,0,
605,0,2.5088072147611324
606,1,1.5627776411605543
607,1,
608,0,
609,0,2.2848287320344207
610,5,2.3780268967599087
611,0,2.085859497290708
612,0,
613,2,
614,5,
615,5,1.6151945300314559
616,0,2.1076148859548898
617,0,1.3605978784137855
618,0,1.5968468674964074
619,5,1.0616001645156878
620,1,0.9343677361317897
621,2,1.1297849275110603
622,4,1.661385938031902
623,2,1.079797308494754
624,1,1.3608122944927228
625,1,1.482954923027068
626,1,1.4604638467561872
627,2,1.861197327400571
628,4,1.284195493477516
629,4,1.228395240654851
630,1,1.1353343790871229
631,1,1.137072927950952
632,1,1.680139667726801
633,1,1.886792298508801
634,3,0.9791705677564287
635,5,2.258068602240424
636,5,1.90466204297039
637,3,2.044496713373997
638,3,2.0170652862505003
639,5,2.0019786713225742
640,3,2.103266373628397
641,4,2.414270446088122
642,2,1.1156618057282197
643,3,1.5926384703794887
644,5,2.1938624940784432
645,4,1.6784028112906628
646,2,1.0507541527327546
647,3,2.5020009709603785
648,3,2.549202967700743
649,3,1.2331829639703367
650,3,1.0734352018389424
651,3,1.2118900575917007
652,3,2.6692484382997828
653,5,1.6225160478819
654,2,1.699915658131823
655,1,1.7857388103388887
656,1,1.324687053503975
657,1,1.9541044046968365
658,1,1.172416626942116
659,3,1.111289789257162
660,5,2.5380049194091105
661,5,1.9098888942628083
662,5,1.08282387035972
663,3,0.9196674913570172
664,5,1.9012806377685656
665,3,2.2305718207687293
666,3,1.6275758917003682
667,5,1.757920014732866
668,4,0.9938972128075715
669,5,1.2224794852674625
670,5,3.180171679637243
671,5,1.0743736394320185
672,5,2.7366765536518556
673,2,2.1539184571455596
674,1,2.714426134450008
675,1,2.714426134450008
676,1,1.21050251763899
677,1,1.6578451804655006
678,1,1.7658381334600193
679,1,0.9846327617066039
680,2,1.157041894488224
681,4,2.1570057689364637
682,2,1.9474081782606087
683,2,1.7784894603050834
684,4,1.9151842381130817
685,4,0.908722604934112
686,4,1.3490657360780571
687,2,1.3792025549862592
688,0,2.16674027141554
689,4,1.1195573688579832
